Item,Type,Season,Seed Price,Growth Time,Regrowth Time,Yield per Harvest,"Max Harvests
per Season",Revenue Per Raw Item,Revenue Per Jar Item,Revenue Per Keg Item,Revenue Per Cask Item,Raw Price/Day,Jar Price/Day,Keg Price/Day,Cask Price/Day,Raw Profit,Jar Profit,Keg Profit,Seasonal Rev. Per Square (Raw),Seasonal Rev. Per Square (Jar),Seasonal Rev. Per Square (Keg),Seasonal Profit Per Square (Raw),Seasonal Profit Per Square (Jar),Seasonal Profit Per Square (Keg)
Blackberry,Foragable,Fall,0,0,0,1,0,20,90,60,120,0,30,8,0,20,90,60,0,0,0,0,0,0
Crystal Fruit,Foragable,Winter,0,0,0,1,0,150,350,450,900,0,116,64,0,150,350,450,0,0,0,0,0,0
Salmonberry,Foragable,Spring,0,0,0,1,0,5,60,15,30,0,20,2,0,5,60,15,0,0,0,0,0,0
Spice Berry,Foragable,Summer,0,0,0,1,0,80,210,240,480,0,70,34,0,80,210,240,0,0,0,0,0,0
Wild Plum,Foragable,Fall,0,0,0,1,0,80,210,240,480,0,70,34,0,80,210,240,0,0,0,0,0,0
Ancient Fruit,Fruit,Multi-Season,0,28,7,1,4,550,1150,1650,3300,78,115,117,45,550,1150,1650,2200,4600,6600,2200,4600,6600
Apple,Fruit,Multi-Season,4000,28,1,1,28,100,250,300,600,100,62,37,9,-3900,-3750,-3700,2800,7000,8400,-1200,3000,4400
Apricot,Fruit,Multi-Season,2000,28,1,1,28,50,150,150,300,50,37,18,4,-1950,-1850,-1850,1400,4200,4200,-600,2200,2200
Blueberry,Fruit,Summer,80,13,4,3,4,50,150,150,300,12,21,13,4,-30,70,70,600,1800,1800,520,1720,1720
Cactus Fruit,Fruit,Indoors,150,12,3,1,6,75,200,225,450,6,95,11,6,-75,50,75,450,1200,1350,300,1050,1200
Cherry,Fruit,Multi-Season,3400,28,1,1,28,80,210,240,480,80,52,30,7,-3320,-3190,-3160,2240,5880,6720,-1160,2480,3320
Cranberry,Fruit,Fall,240,7,5,2,5,75,200,225,450,15,25,18,6,-165,-40,225,750,2000,2250,510,1760,2010
Grape,Fruit,Fall,60,10,3,1,6,80,210,240,480,26,35,24,7,20,150,180,480,1260,1440,420,1200,1380
